Designator,Mid X,Mid Y,Rotation,Layer
C1,98.2345,-32.28975,180.0,top
C10,110.07725,-54.61,270.0,top
C11,110.07725,-52.22875,90.0,top
C12,106.90225,-55.4355,180.0,top
C13,108.5215,-54.51475,180.0,top
C14,108.5215,-52.22875,180.0,top
C15,108.5215,-49.94275,180.0,top
C16,110.07725,-49.911,270.0,top
C17,110.07725,-47.72025,90.0,top
C18,87.91575,-46.4185,0.0,top
C19,92.075,-37.6555,0.0,top
C2,92.23375,-32.28975,0.0,top
C20,96.266,-37.87775,0.0,top
C21,98.26625,-39.46525,270.0,top
C22,81.661,-36.48075,270.0,top
C23,107.60075,-32.60725,0.0,top
C24,87.15375,-39.90975,0.0,top
C25,90.26525,-41.529,90.0,top
C26,88.80475,-59.10225,90.0,top
C27,89.63025,-57.531,180.0,top
C28,89.63025,-56.29275,180.0,top
C29,90.297,-59.08675,270.0,top
C3,106.9975,-34.51225,90.0,top
C30,92.67825,-56.4515,0.0,top
C31,109.728,-56.67375,0.0,top
C32,104.17175,-88.55075,270.0,top
C33,99.568,-55.499,90.0,top
C34,98.64725,-55.499,90.0,top
C35,81.56575,-63.754,90.0,top
C36,86.4235,-55.499,180.0,top
C37,83.02625,-60.10275,90.0,top
C38,83.02625,-56.67375,270.0,top
C39,97.44075,-88.4555,0.0,top
C4,107.91825,-34.51225,90.0,top
C40,100.86975,-88.4555,0.0,top
C5,108.87075,-35.433,90.0,top
C6,109.7915,-35.433,90.0,top
C7,109.6645,-36.98875,0.0,top
C8,110.07725,-38.5445,270.0,top
C9,110.07725,-45.5295,270.0,top
D2,103.4415,-39.40175,270.0,top
D5,97.4725,-51.7525,90.0,top
F1,100.1395,-36.29025,0.0,top
J1,95.25,-27.178,180.0,top
J3,87.63,-74.882,0.0,top
J4,102.87,-74.882,0.0,top
LED1,101.6,-26.9875,270.0,top
LED2,88.9,-30.48,270.0,top
LED3,88.9,-26.9875,270.0,top
LED4,87.63,-62.32525,90.0,top
LED5,101.6,-30.48,270.0,top
Q1,87.85225,-36.3855,270.0,top
Q2,88.3285,-33.655,270.0,top
Q3,83.7565,-63.1825,270.0,top
Q4,101.2825,-57.15,180.0,top
Q5,101.2825,-60.452,180.0,top
Q6,101.2825,-63.754,180.0,top
R1,102.5525,-24.765,0.0,top
R10,100.203,-44.958,270.0,top
R11,90.64625,-35.59175,90.0,top
R12,89.69375,-35.59175,90.0,top
R13,87.63,-31.01975,90.0,top
R14,87.63,-27.52725,90.0,top
R15,81.661,-34.29,90.0,top
R16,109.18825,-33.24225,90.0,top
R17,86.233,-31.01975,90.0,top
R18,89.63025,-38.95725,0.0,top
R19,89.63025,-39.90975,0.0,top
R2,87.91575,-24.765,180.0,top
R20,102.87,-27.52725,90.0,top
R21,85.43925,-62.865,90.0,top
R22,103.505,-85.09,0.0,top
R23,83.66125,-64.99225,180.0,top
R24,103.15575,-88.55075,90.0,top
R25,86.39175,-62.865,90.0,top
R26,99.15525,-58.70575,270.0,top
R27,99.15525,-61.94425,90.0,top
R28,103.79075,-31.01975,270.0,top
R29,102.83825,-31.01975,270.0,top
R3,103.8225,-27.52725,270.0,top
R4,91.44,-48.133,90.0,top
R6,93.345,-48.133,90.0,top
SW1,83.947,-34.89325,270.0,top
SW2,106.52125,-29.464,90.0,top
SW3,83.947,-29.464,90.0,top
SW4,106.68,-89.56675,90.0,top
SW5,106.045,-60.99175,90.0,top
TVS1,99.568,-34.2265,0.0,top
TVS10,96.4565,-83.7565,180.0,top
TVS11,109.5375,-81.24825,0.0,top
TVS12,96.4565,-81.2165,180.0,top
TVS13,109.69625,-78.70825,0.0,top
TVS14,96.4565,-78.6765,180.0,top
TVS15,109.5375,-76.16825,0.0,top
TVS2,95.377,-34.3535,270.0,top
TVS3,93.853,-34.3535,270.0,top
TVS4,81.2165,-78.70825,180.0,top
TVS5,96.4565,-76.16825,180.0,top
TVS6,96.4565,-73.62825,180.0,top
TVS7,81.2165,-71.08825,180.0,top
TVS8,81.2165,-81.24825,180.0,top
TVS9,109.5375,-83.7565,0.0,top
U1,105.31475,-51.08575,180.0,top
U2,94.2975,-42.2275,90.0,top
U3,94.2975,-60.785,270.0,top
U4,104.74325,-33.8455,90.0,top
XTAL1,86.45525,-42.32275,0.0,top
XTAL2,85.9155,-57.83225,180.0,top
