Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0402,3,100n,C307331
"C10, C15, C16, C17, C23, C24, C25, C26, C27, C30, C31, C37, C38, C39, C40, C41, C5, C6, C7, C8, C9",0402,21,100n,C1525
"C11, C13, C14, C18",0402,4,1u,C52923
"C12, C19",0402,2,10u,C15525
"C20, C21, C22, C3, C32, C33, C34, C35, C36",0805,9,10u,C15850
"C28, C29, C42, C43",0402,4,22p,C1555
D1,D_SMA_1SMA4734A,1,5V6,C2943833
D2,D_SOD-323,1,40V 350mA,C397613
F1,Fuse_MFU0603FF02000P500,1,2A,C1972777
J1,USB_C_Receptable_USB-TYPE-C-018,1,USB_C_Receptable_USB2.0,C2927038
"J3, J4",CONN_PIN_HEADER_2x07_P2.54mm_Vertical_SMD,2,CONN_PIN_HEADER_02x07,C84004
"LED1, LED5",LED_0603_CSL0902ET,2,GREEN,C7115899
LED2,LED_0603_CSL0902UT,1,RED,C5579175
"LED3, LED4",LED_0603_CSL0902BT,2,BLUE,C6538602
"Q1, Q2, Q6",SOT-323_SC-70,3,DMG1012UW-7,C156390
"Q3, Q4, Q5",SOT-23_DMP1045U-7,3,DMP1045U-7,C177033
"R1, R27",0402,2,470,C25117
"R10, R8",0402,2,220,C25091
"R13, R19, R31, R4",0402,4,1k,C11702
"R14, R25, R26, R32",0402,4,100k,C25741
"R15, R17, R7",0402,3,100,C25076
"R16, R18",0402,2,22,C25092
R2,0402,1,200,C25087
"R20, R21, R28",0402,3,10k,C25744
"R22, R23, R24",0402,3,0,C17168
R29,0402,1,1k,GPR04021K
"R5, R6",0402,2,5k1,C25905
"SW1, SW2, SW3",SW_Tactile_SPST_NO_Straight_Korean-Hroparts_K2-1109SP-A4SA-04,3,12V 50mA,C92581
SW4,SW_Slide_SPDT_XKB-Connectivity_SS-3235D-03-L3,1,12V 50mA,C2884764
SW5,SW_Tactile_SPST_NO_Straight_Korean-Hroparts_K2-1109SP-I4SA-04,1,12V 50mA,C146695
"TVS1, TVS2",D_SOD-323_CDSOD323-T05LC,2,5V,C840637
"TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS20, TVS21, TVS22, TVS23, TVS24, TVS25, TVS26, TVS27, TVS28, TVS29, TVS30, TVS31, TVS32, TVS33, TVS34, TVS35, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9",D_SOD-882_SP1007-01ETG,32,5V,C126836
TVS3,D_SMA_SMAJ5.0A,1,5V,C83329
U1,SOT-23-5,1,AP2141WG-7,C500761
U2,SOT-223-3_TabPin2,1,3V3,C145411
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V305FBP6,C5123443
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003F4P6,C5187096
XTAL1,CRYSTAL-SMD5032-4P,1,12MHz,C2901629
XTAL2,CRYSTAL-SMD3225-4P,1,24MHz,C279615
